SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-2-2021,Single Family Residential,272 Mountain Rd,Cornwall-On-Hudson,NY,12520,450000,4,2.5,Cornwall On Hudson,2157,104544,1940,83,209,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/272-Mountain-Rd-12520/home/72589827,OneKey,H6080475,N,Y,41.4256199,-74.0113216
PAST SALE,August-13-2020,Single Family Residential,126 Duncan Ave,Cornwall-On-Hudson,NY,12520,610000,4,2.5,Cornwall On Hudson,2874,31363,1997,284,212,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/126-Duncan-Ave-12520/home/92374638,OneKey,H6035346,N,Y,41.4365686,-74.0214973
PAST SALE,August-6-2020,Single Family Residential,30 Maple Rd,Cornwall-On-Hudson,NY,12520,320000,3,1.5,Cornwall On Hudson,1549,82764,1920,291,207,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/30-Maple-Rd-12520/home/54918008,OneKey,H4975491,N,Y,41.428108,-74.0145656
PAST SALE,July-2-2020,Single Family Residential,7 Partridge Rd,Cornwall-On-Hudson,NY,12520,310000,6,2.5,Cornwall On Hudson,2729,87120,1920,326,114,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/7-Partridge-Rd-12520/home/72579995,OneKey,H5061938,N,Y,41.4290846,-74.0104341
PAST SALE,June-30-2020,Single Family Residential,5 Paula Ct,Cornwall-On-Hudson,NY,12520,350000,4,2.5,Homeland,2580,8276,1955,328,136,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/5-Paula-Ct-12520/home/56301083,OneKey,H6040513,N,Y,41.446506,-74.0205792
PAST SALE,May-28-2020,Single Family Residential,98 Boulevard,Cornwall-On-Hudson,NY,12520,305000,3,1.5,Cornwall On Hudson,1712,10890,1969,361,178,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/98-Boulevard-12520/home/92374659,OneKey,H6026490,N,Y,41.4387254,-74.0146001
PAST SALE,November-16-2020,Single Family Residential,3 River St,Cornwall-On-Hudson,NY,12520,550000,4,2.5,Cornwall On Hudson,2184,16117,1910,189,252,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/3-River-St-12520/home/58777792,OneKey,H6063130,N,Y,41.4433163,-74.0061036
PAST SALE,October-27-2020,Single Family Residential,32 Duncan Ave,Cornwall-On-Hudson,NY,12520,215000,4,1,Cornwall On Hudson,858,4752,1890,209,251,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/32-Duncan-Ave-12520/home/92374504,OneKey,H6062663,N,Y,41.4436209,-74.0171822
PAST SALE,April-12-2021,Single Family Residential,2 Grandview Ave,Cornwall-On-Hudson,NY,12520,421500,3,1,Cornwall On Hudson,1548,10019,1949,42,272,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/2-Grandview-Ave-12520/home/92374455,OneKey,H6081428,N,Y,41.4449992,-74.0083683
PAST SALE,March-11-2021,Single Family Residential,19 Willis Ave,Cornwall-On-Hudson,NY,12520,295000,2,1.5,Cornwall On Hudson,1290,10454,1927,74,229,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/19-Willis-Ave-12520/home/72610028,OneKey,H6086965,N,Y,41.4427478,-74.0217727
